"200006253";"156"
"200006254";"157"
"200006255";"157"
"200006256";"158"
"200006257";"158"
"200006258";"159"
"200006259";"159"
"200006260";"160"
"200006261";"160"
"200006262";"161"
"200006263";"161"
"200006264";"162"
"200006265";"162"
"200006266";"163"
"200006267";"163"
"200006268";"164"
"200006269";"164"
"200006270";"165"
"200006271";"165"
"200006272";"166"
"200006273";"166"
"200006274";"167"
"200006275";"167"
"200006276";"168"
"200006277";"168"
"200006278";"169"
"200006279";"169"
"200006280";"170"
"200006281";"170"
"200006282";"171"
"200006283";"171"
"200006284";"172"
"200006285";"172"
"200006286";"173"
"200006287";"173"
"200006288";"174"
"200006289";"174"
"200006290";"175"
"200006291";"175"
"200006292";"176"
"200006293";"176"
"200006294";"177"
"200006295";"177"
"200006296";"178"
"200006297";"178"
"200006298";"179"
"200006299";"179"
"200006300";"180"
"200006301";"180"
"200006302";"181"
"200006303";"181"
"200006304";"182"
"200006305";"182"
"200006306";"183"
"200006307";"183"
"200006308";"184"
"200006309";"184"
"200006310";"185"
"200006311";"185"
"200006312";"186"
"200006313";"186"
"200006314";"187"
"200006315";"187"
"200006316";"188"
"200006317";"188"
"200006318";"189"
"200006319";"189"
"200006320";"190"
"200006321";"190"
"200006322";"191"
"200006323";"191"
"200006324";"192"
"200006325";"192"
"200006326";"193"
"200006327";"193"
"200006328";"194"
"200006329";"194"
"200006330";"195"
"200006331";"195"
"200006332";"196"
"200006333";"196"
"200006334";"197"
"200006335";"197"
"200006336";"198"
"200006337";"198"
"200006338";"199"
"200006339";"199"
"200006340";"200"
"200006341";"200"
"200006342";"201"
"200006343";"201"
"200006344";"202"
"200006345";"202"
"200006346";"203"
"200006347";"203"
"200006348";"204"
"200006349";"204"
"200006350";"205"
"200006351";"205"
"200006352";"206"
"200006353";"206"
"200006354";"207"
"200006355";"207"
"200006356";"208"
"200006357";"208"
"200006358";"209"
"200006359";"209"
"200006360";"210"
"200006361";"210"
"200006362";"211"
"200006363";"211"
"200006364";"212"
"200006365";"212"
"200006366";"213"
"200006367";"213"
"200006368";"214"
"200006369";"214"
"200006370";"215"
"200006371";"215"
"200006372";"216"
"200006373";"216"
"200006374";"217"
"200006375";"217"
"200006376";"218"
"200006377";"218"
"200006378";"219"
"200006379";"219"
"200006380";"220"
"200006381";"220"
"200006382";"221"
"200006383";"221"
"200006384";"222"
"200006385";"222"
"200006386";"223"
"200006387";"223"
"200006388";"224"
"200006389";"224"
"200006390";"225"
"200006391";"225"
"200006392";"226"
"200006393";"226"
"200006394";"227"
"200006395";"227"
"200006396";"228"
