"164";"24";"1";"3";"30";"Y"
"165";"24";"1";"4";"40";"Y"
"166";"24";"1";"5";"50";"Y"
"167";"24";"1";"6";"60";"Y"
"169";"25";"1";"1";"10";"Y"
"170";"25";"1";"2";"20";"Y"
"171";"25";"1";"3";"30";"Y"
"172";"25";"1";"4";"40";"Y"
"173";"25";"1";"5";"50";"Y"
"174";"25";"1";"6";"60";"Y"
"176";"26";"1";"1";"10";"Y"
"177";"26";"1";"2";"20";"Y"
"178";"26";"1";"3";"30";"Y"
"179";"26";"1";"4";"40";"Y"
"180";"26";"1";"5";"50";"Y"
"181";"26";"1";"6";"60";"Y"
"183";"27";"1";"1";"10";"Y"
"184";"27";"1";"2";"20";"Y"
"185";"27";"1";"3";"30";"Y"
"186";"27";"1";"4";"40";"Y"
"187";"27";"1";"5";"50";"Y"
"188";"27";"1";"6";"60";"Y"
"190";"28";"1";"1";"10";"Y"
"191";"28";"1";"2";"20";"Y"
"192";"28";"1";"3";"30";"Y"
"193";"28";"1";"4";"40";"Y"
"194";"28";"1";"5";"50";"Y"
"195";"28";"1";"6";"60";"Y"
"197";"29";"1";"1";"10";"Y"
"198";"29";"1";"2";"20";"Y"
"199";"29";"1";"3";"30";"Y"
"200";"29";"1";"4";"40";"Y"
"201";"29";"1";"5";"50";"Y"
"202";"29";"1";"6";"60";"Y"
"204";"30";"1";"1";"10";"Y"
"205";"30";"1";"2";"20";"Y"
"206";"30";"1";"3";"30";"Y"
"207";"30";"1";"4";"40";"Y"
"208";"30";"1";"5";"50";"Y"
"209";"30";"1";"6";"60";"Y"
"211";"31";"1";"1";"10";"Y"
"212";"31";"1";"2";"20";"Y"
"213";"31";"1";"3";"30";"Y"
"214";"31";"1";"4";"40";"Y"
"215";"31";"1";"5";"50";"Y"
"216";"31";"1";"6";"60";"Y"
"218";"32";"1";"1";"10";"Y"
"219";"32";"1";"2";"20";"Y"
"220";"32";"1";"3";"30";"Y"
"221";"32";"1";"4";"40";"Y"
"222";"32";"1";"5";"50";"Y"
"223";"32";"1";"6";"60";"Y"
"225";"33";"1";"1";"10";"Y"
"226";"33";"1";"2";"20";"Y"
"227";"33";"1";"3";"30";"Y"
"228";"33";"1";"4";"40";"Y"
"229";"33";"1";"5";"50";"Y"
"230";"33";"1";"6";"60";"Y"
"232";"34";"1";"1";"10";"Y"
"233";"34";"1";"2";"20";"Y"
"234";"34";"1";"3";"30";"Y"
"235";"34";"1";"4";"40";"Y"
"236";"34";"1";"5";"50";"Y"
"237";"34";"1";"6";"60";"Y"
"239";"35";"1";"1";"10";"Y"
"240";"35";"1";"2";"20";"Y"
"241";"35";"1";"3";"30";"Y"
"242";"35";"1";"4";"40";"Y"
"243";"35";"1";"5";"50";"Y"
"244";"35";"1";"6";"60";"Y"
"246";"36";"1";"1";"10";"Y"
"247";"36";"1";"2";"20";"Y"
"248";"36";"1";"3";"30";"Y"
"249";"36";"1";"4";"40";"Y"
"250";"36";"1";"5";"50";"Y"
"251";"36";"1";"6";"60";"Y"
"253";"37";"1";"1";"10";"Y"
"254";"37";"1";"2";"20";"Y"
"255";"37";"1";"3";"30";"Y"
"256";"37";"1";"4";"40";"Y"
"257";"37";"1";"5";"50";"Y"
